City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hilo,US,79.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Atambua,ID,85.48,broken clouds,-9.1061,124.8925,Kost Alfa Flat
9,Nuevitas,CU,77.18,clear sky,21.5453,-77.2644,Hotel Caonaba
10,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
12,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
14,Arlit,NE,84.52,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
15,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Saint-Joseph,RE,77.38,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
24,Shihezi,CN,89.24,light rain,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
25,Rikitea,PF,75.4,clear sky,-23.1203,-134.9692,People ThankYou
28,Hit,IQ,81.5,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
34,Butaritari,KI,81.59,broken clouds,3.0707,172.7902,Isles Sunset Lodge
38,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
41,Faanui,PF,81.14,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Laguna,US,84.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
44,Nabire,ID,79.29,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
45,Hobyo,SO,82.99,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
48,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
56,Jiuquan,CN,79.74,overcast clouds,39.7432,98.5174,Jiuquan Hotel
58,Aksha,RU,80.11,clear sky,50.2814,113.2867,Vizit
69,Isangel,VU,79.52,few clouds,-19.55,169.2667,Tanna Lodge
70,Avarua,CK,75.25,haze,-21.2078,-159.775,Paradise Inn
71,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
75,Dawei,MM,82.99,overcast clouds,14.0833,98.2,Hotel Dawei
78,Antalaha,MG,75.34,clear sky,-14.9003,50.2788,Hotel Vitasoa
80,Cao Bang,VN,85.96,broken clouds,22.6667,106.25,khách sạn 88
85,Moindou,NC,77.0,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
89,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
96,San Patricio,US,78.66,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
99,Khash,IR,86.81,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
103,Tiarei,PF,78.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
104,Naze,JP,76.12,broken clouds,28.3667,129.4833,Shishime Hotel
105,Kahului,US,75.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
106,Atuona,PF,78.24,light rain,-9.8,-139.0333,Villa Enata
108,Acajutla,SV,80.44,overcast clouds,13.5928,-89.8275,Laureles
115,Buraydah,SA,84.65,few clouds,26.326,43.975,Mövenpick Qassim
117,Komsomolskiy,UZ,86.72,scattered clouds,40.4272,71.7189,Ikathouse
