City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Makamba,BI,-4.1348,29.804,63.34,85,100,2.08,overcast clouds
1,Hermanus,ZA,-34.4187,19.2345,56.8,90,95,3.98,light rain
2,Dikson,RU,73.5069,80.5464,29.46,83,67,3.49,broken clouds
3,Ponta Do Sol,PT,32.6667,-17.1,65.01,74,89,4.88,overcast clouds
4,Hilo,US,19.7297,-155.09,79.29,76,75,8.05,light rain
5,Jamestown,US,42.097,-79.2353,63.99,78,0,17.27,clear sky
6,Kapaa,US,22.0752,-159.319,78.78,77,40,12.66,scattered clouds
7,Grants Pass,US,42.439,-123.3284,72.91,56,0,9.22,clear sky
8,Atambua,ID,-9.1061,124.8925,85.48,57,79,2.17,broken clouds
9,Nuevitas,CU,21.5453,-77.2644,77.18,78,9,11.74,clear sky
10,Ambon,ID,-3.6954,128.1814,89.74,62,40,4.61,scattered clouds
11,Coquimbo,CL,-29.9533,-71.3436,53.33,100,75,2.3,mist
12,Makakilo City,US,21.3469,-158.0858,77.32,57,0,12.66,clear sky
13,Gamba,GA,-2.65,10.0,72.73,92,74,5.1,broken clouds
14,Arlit,NE,18.7369,7.3853,84.52,25,46,7.02,scattered clouds
15,Mahebourg,MU,-20.4081,57.7,79.09,69,40,8.05,scattered clouds
16,Tiznit,MA,29.5833,-9.5,65.66,50,86,1.03,overcast clouds
17,Santa Flavia,IT,38.085,13.5351,74.3,75,88,5.99,overcast clouds
18,Vaini,TO,-21.2,-175.2,77.16,88,20,4.61,few clouds
19,Bredasdorp,ZA,-34.5322,20.0403,58.17,91,100,1.34,overcast clouds
20,Kruisfontein,ZA,-34.0033,24.7314,55.89,90,54,6.87,light rain
21,Norman Wells,CA,65.282,-126.8329,48.24,87,75,5.75,light rain
22,Saint-Joseph,RE,-21.3667,55.6167,77.38,66,7,4.59,clear sky
23,Sao Filipe,CV,14.8961,-24.4956,71.22,79,9,6.76,clear sky
24,Shihezi,CN,44.3,86.0333,89.24,26,100,16.82,light rain
25,Rikitea,PF,-23.1203,-134.9692,75.4,74,3,5.1,clear sky
26,Chuy,UY,-33.6971,-53.4616,55.33,90,96,12.1,overcast clouds
27,Tiksi,RU,71.6872,128.8694,27.77,75,97,9.24,overcast clouds
28,Hit,IQ,33.6416,42.8251,81.5,16,0,8.1,clear sky
29,Hobart,AU,-42.8794,147.3294,62.26,75,75,3.44,broken clouds
30,Shingu,JP,33.7333,135.9833,70.66,88,100,6.35,overcast clouds
